"","Mean","StdErr","Selection","Shorten","SelectSP","TestSP","Year","Cycles","nDH","Ne","varE"
"37",0.991483976922375,0.00337561633532487,"./rand_1000_2yr_nDH96_varE1_Ne60_Sd_GP.csv","rand_1000_2yr_nDH96_varE1_Ne60_Sd_GP","rand",1000,"2yr",2,"nDH96","Ne60","varE1"
"38",0.892181241736842,0.00394187255039622,"./rand_1000_2yr_nDH96_varE1_Ne60_Sd_GP.csv","rand_1000_2yr_nDH96_varE1_Ne60_Sd_GP","rand",1000,"2yr",3,"nDH96","Ne60","varE1"
"39",0.884269644426237,0.00388206326474419,"./rand_1000_2yr_nDH96_varE1_Ne60_Sd_GP.csv","rand_1000_2yr_nDH96_varE1_Ne60_Sd_GP","rand",1000,"2yr",4,"nDH96","Ne60","varE1"
"40",0.842154334335765,0.00363613591156398,"./rand_1000_2yr_nDH96_varE1_Ne60_Sd_GP.csv","rand_1000_2yr_nDH96_varE1_Ne60_Sd_GP","rand",1000,"2yr",5,"nDH96","Ne60","varE1"
"41",0.836771547301132,0.00375794285449187,"./rand_1000_2yr_nDH96_varE1_Ne60_Sd_GP.csv","rand_1000_2yr_nDH96_varE1_Ne60_Sd_GP","rand",1000,"2yr",6,"nDH96","Ne60","varE1"
"42",0.802594409523681,0.00486845717224709,"./rand_1000_2yr_nDH96_varE1_Ne60_Sd_GP.csv","rand_1000_2yr_nDH96_varE1_Ne60_Sd_GP","rand",1000,"2yr",7,"nDH96","Ne60","varE1"
"43",0.99580507179525,0.00591118930958658,"./rand_400_1yr_nDH96_varE1_Ne60_Sd_GP.csv","rand_400_1yr_nDH96_varE1_Ne60_Sd_GP","rand",400,"1yr",1,"nDH96","Ne60","varE1"
"44",1.00115936472626,0.00640915295103826,"./rand_400_1yr_nDH96_varE1_Ne60_Sd_GP.csv","rand_400_1yr_nDH96_varE1_Ne60_Sd_GP","rand",400,"1yr",2,"nDH96","Ne60","varE1"
"45",0.89116238796069,0.00542515482242117,"./rand_400_1yr_nDH96_varE1_Ne60_Sd_GP.csv","rand_400_1yr_nDH96_varE1_Ne60_Sd_GP","rand",400,"1yr",3,"nDH96","Ne60","varE1"
"46",0.824329178503132,0.00635072785682609,"./rand_400_1yr_nDH96_varE1_Ne60_Sd_GP.csv","rand_400_1yr_nDH96_varE1_Ne60_Sd_GP","rand",400,"1yr",4,"nDH96","Ne60","varE1"
"47",0.770676087969489,0.00826725548495855,"./rand_400_1yr_nDH96_varE1_Ne60_Sd_GP.csv","rand_400_1yr_nDH96_varE1_Ne60_Sd_GP","rand",400,"1yr",5,"nDH96","Ne60","varE1"
"48",0.724389132109969,0.00832925732480659,"./rand_400_1yr_nDH96_varE1_Ne60_Sd_GP.csv","rand_400_1yr_nDH96_varE1_Ne60_Sd_GP","rand",400,"1yr",6,"nDH96","Ne60","varE1"
"49",0.683586952783189,0.00822502342010427,"./rand_400_1yr_nDH96_varE1_Ne60_Sd_GP.csv","rand_400_1yr_nDH96_varE1_Ne60_Sd_GP","rand",400,"1yr",7,"nDH96","Ne60","varE1"
"50",0.988385066768304,0.00610985539620308,"./rand_400_2yr_nDH96_varE1_Ne60_Sd_GP.csv","rand_400_2yr_nDH96_varE1_Ne60_Sd_GP","rand",400,"2yr",1,"nDH96","Ne60","varE1"
"51",0.991826998192848,0.00637497848584968,"./rand_400_2yr_nDH96_varE1_Ne60_Sd_GP.csv","rand_400_2yr_nDH96_varE1_Ne60_Sd_GP","rand",400,"2yr",2,"nDH96","Ne60","varE1"
"52",0.898580079197501,0.00621962616822401,"./rand_400_2yr_nDH96_varE1_Ne60_Sd_GP.csv","rand_400_2yr_nDH96_varE1_Ne60_Sd_GP","rand",400,"2yr",3,"nDH96","Ne60","varE1"
"53",0.891405821106658,0.00530982482730923,"./rand_400_2yr_nDH96_varE1_Ne60_Sd_GP.csv","rand_400_2yr_nDH96_varE1_Ne60_Sd_GP","rand",400,"2yr",4,"nDH96","Ne60","varE1"
"54",0.811324029577975,0.00742784689639996,"./rand_400_2yr_nDH96_varE1_Ne60_Sd_GP.csv","rand_400_2yr_nDH96_varE1_Ne60_Sd_GP","rand",400,"2yr",5,"nDH96","Ne60","varE1"
"55",0.823424360019363,0.00643506979707014,"./rand_400_2yr_nDH96_varE1_Ne60_Sd_GP.csv","rand_400_2yr_nDH96_varE1_Ne60_Sd_GP","rand",400,"2yr",6,"nDH96","Ne60","varE1"
"56",0.756553896072759,0.00816351205158627,"./rand_400_2yr_nDH96_varE1_Ne60_Sd_GP.csv","rand_400_2yr_nDH96_varE1_Ne60_Sd_GP","rand",400,"2yr",7,"nDH96","Ne60","varE1"
