,Mean,SD,Selection,Shorten,SelectSP,TestSP,Year,Cycles,nDH,Ne,varE
40,1.996536912,0.186512315,./rand_1000_2yr_nDH96_varE1.22_Ne60_Mean_g.csv,rand_1000_2yr_nDH96_varE1.22_Ne60_Mean_g,rand,1000,2yr,5,nDH96,Ne60,varE1.22
41,2.046365862,0.184356849,./rand_1000_2yr_nDH96_varE1.22_Ne60_Mean_g.csv,rand_1000_2yr_nDH96_varE1.22_Ne60_Mean_g,rand,1000,2yr,6,nDH96,Ne60,varE1.22
42,2.920339232,0.241583518,./rand_1000_2yr_nDH96_varE1.22_Ne60_Mean_g.csv,rand_1000_2yr_nDH96_varE1.22_Ne60_Mean_g,rand,1000,2yr,7,nDH96,Ne60,varE1.22
43,0.001310935,0.043624492,./rand_400_1yr_nDH96_varE1.22_Ne60_Mean_g.csv,rand_400_1yr_nDH96_varE1.22_Ne60_Mean_g,rand,400,1yr,1,nDH96,Ne60,varE1.22
44,-0.005523979,0.047914205,./rand_400_1yr_nDH96_varE1.22_Ne60_Mean_g.csv,rand_400_1yr_nDH96_varE1.22_Ne60_Mean_g,rand,400,1yr,2,nDH96,Ne60,varE1.22
45,0.844604049,0.234179365,./rand_400_1yr_nDH96_varE1.22_Ne60_Mean_g.csv,rand_400_1yr_nDH96_varE1.22_Ne60_Mean_g,rand,400,1yr,3,nDH96,Ne60,varE1.22
46,1.659548386,0.363802465,./rand_400_1yr_nDH96_varE1.22_Ne60_Mean_g.csv,rand_400_1yr_nDH96_varE1.22_Ne60_Mean_g,rand,400,1yr,4,nDH96,Ne60,varE1.22
47,2.440078657,0.418437653,./rand_400_1yr_nDH96_varE1.22_Ne60_Mean_g.csv,rand_400_1yr_nDH96_varE1.22_Ne60_Mean_g,rand,400,1yr,5,nDH96,Ne60,varE1.22
48,3.122751005,0.433792644,./rand_400_1yr_nDH96_varE1.22_Ne60_Mean_g.csv,rand_400_1yr_nDH96_varE1.22_Ne60_Mean_g,rand,400,1yr,6,nDH96,Ne60,varE1.22
49,3.76900017,0.461843043,./rand_400_1yr_nDH96_varE1.22_Ne60_Mean_g.csv,rand_400_1yr_nDH96_varE1.22_Ne60_Mean_g,rand,400,1yr,7,nDH96,Ne60,varE1.22
50,0.007597452,0.04613661,./rand_400_2yr_nDH96_varE1.22_Ne60_Mean_g.csv,rand_400_2yr_nDH96_varE1.22_Ne60_Mean_g,rand,400,2yr,1,nDH96,Ne60,varE1.22
51,-0.004730767,0.048611806,./rand_400_2yr_nDH96_varE1.22_Ne60_Mean_g.csv,rand_400_2yr_nDH96_varE1.22_Ne60_Mean_g,rand,400,2yr,2,nDH96,Ne60,varE1.22
52,0.851382846,0.227301282,./rand_400_2yr_nDH96_varE1.22_Ne60_Mean_g.csv,rand_400_2yr_nDH96_varE1.22_Ne60_Mean_g,rand,400,2yr,3,nDH96,Ne60,varE1.22
53,0.87359724,0.222683237,./rand_400_2yr_nDH96_varE1.22_Ne60_Mean_g.csv,rand_400_2yr_nDH96_varE1.22_Ne60_Mean_g,rand,400,2yr,4,nDH96,Ne60,varE1.22
54,1.723603008,0.340396984,./rand_400_2yr_nDH96_varE1.22_Ne60_Mean_g.csv,rand_400_2yr_nDH96_varE1.22_Ne60_Mean_g,rand,400,2yr,5,nDH96,Ne60,varE1.22
55,1.752081657,0.359655942,./rand_400_2yr_nDH96_varE1.22_Ne60_Mean_g.csv,rand_400_2yr_nDH96_varE1.22_Ne60_Mean_g,rand,400,2yr,6,nDH96,Ne60,varE1.22
56,2.48479603,0.386309341,./rand_400_2yr_nDH96_varE1.22_Ne60_Mean_g.csv,rand_400_2yr_nDH96_varE1.22_Ne60_Mean_g,rand,400,2yr,7,nDH96,Ne60,varE1.22
57,-0.000129977,0.024535127,./pheno_1000_1yr_nDH96_varE1.22_Ne600_Mean_g.csv,pheno_1000_1yr_nDH96_varE1.22_Ne600_Mean_g,pheno,1000,1yr,1,nDH96,Ne600,varE1.22
58,-0.002841906,0.024037767,./pheno_1000_1yr_nDH96_varE1.22_Ne600_Mean_g.csv,pheno_1000_1yr_nDH96_varE1.22_Ne600_Mean_g,pheno,1000,1yr,2,nDH96,Ne600,varE1.22
59,1.144421637,0.146096591,./pheno_1000_1yr_nDH96_varE1.22_Ne600_Mean_g.csv,pheno_1000_1yr_nDH96_varE1.22_Ne600_Mean_g,pheno,1000,1yr,3,nDH96,Ne600,varE1.22
60,2.241895661,0.297611124,./pheno_1000_1yr_nDH96_varE1.22_Ne600_Mean_g.csv,pheno_1000_1yr_nDH96_varE1.22_Ne600_Mean_g,pheno,1000,1yr,4,nDH96,Ne600,varE1.22
61,3.212024031,0.379470607,./pheno_1000_1yr_nDH96_varE1.22_Ne600_Mean_g.csv,pheno_1000_1yr_nDH96_varE1.22_Ne600_Mean_g,pheno,1000,1yr,5,nDH96,Ne600,varE1.22
62,4.143690098,0.396217439,./pheno_1000_1yr_nDH96_varE1.22_Ne600_Mean_g.csv,pheno_1000_1yr_nDH96_varE1.22_Ne600_Mean_g,pheno,1000,1yr,6,nDH96,Ne600,varE1.22
63,5.034678552,0.413824582,./pheno_1000_1yr_nDH96_varE1.22_Ne600_Mean_g.csv,pheno_1000_1yr_nDH96_varE1.22_Ne600_Mean_g,pheno,1000,1yr,7,nDH96,Ne600,varE1.22
64,0.000662887,0.020945316,./pheno_1000_2yr_nDH96_varE1.22_Ne600_Mean_g.csv,pheno_1000_2yr_nDH96_varE1.22_Ne600_Mean_g,pheno,1000,2yr,1,nDH96,Ne600,varE1.22
65,-0.000112969,0.023177468,./pheno_1000_2yr_nDH96_varE1.22_Ne600_Mean_g.csv,pheno_1000_2yr_nDH96_varE1.22_Ne600_Mean_g,pheno,1000,2yr,2,nDH96,Ne600,varE1.22
66,1.12386184,0.129939997,./pheno_1000_2yr_nDH96_varE1.22_Ne600_Mean_g.csv,pheno_1000_2yr_nDH96_varE1.22_Ne600_Mean_g,pheno,1000,2yr,3,nDH96,Ne600,varE1.22
67,1.20384414,0.153365498,./pheno_1000_2yr_nDH96_varE1.22_Ne600_Mean_g.csv,pheno_1000_2yr_nDH96_varE1.22_Ne600_Mean_g,pheno,1000,2yr,4,nDH96,Ne600,varE1.22
68,2.222394203,0.251904543,./pheno_1000_2yr_nDH96_varE1.22_Ne600_Mean_g.csv,pheno_1000_2yr_nDH96_varE1.22_Ne600_Mean_g,pheno,1000,2yr,5,nDH96,Ne600,varE1.22
69,2.316734489,0.304844145,./pheno_1000_2yr_nDH96_varE1.22_Ne600_Mean_g.csv,pheno_1000_2yr_nDH96_varE1.22_Ne600_Mean_g,pheno,1000,2yr,6,nDH96,Ne600,varE1.22
70,3.256401064,0.351002938,./pheno_1000_2yr_nDH96_varE1.22_Ne600_Mean_g.csv,pheno_1000_2yr_nDH96_varE1.22_Ne600_Mean_g,pheno,1000,2yr,7,nDH96,Ne600,varE1.22
71,-0.007943519,0.044798192,./pheno_400_1yr_nDH96_varE1.22_Ne600_Mean_g.csv,pheno_400_1yr_nDH96_varE1.22_Ne600_Mean_g,pheno,400,1yr,1,nDH96,Ne600,varE1.22
72,-0.005817659,0.041316258,./pheno_400_1yr_nDH96_varE1.22_Ne600_Mean_g.csv,pheno_400_1yr_nDH96_varE1.22_Ne600_Mean_g,pheno,400,1yr,2,nDH96,Ne600,varE1.22
73,0.992420478,0.231522744,./pheno_400_1yr_nDH96_varE1.22_Ne600_Mean_g.csv,pheno_400_1yr_nDH96_varE1.22_Ne600_Mean_g,pheno,400,1yr,3,nDH96,Ne600,varE1.22
74,1.973945131,0.388741424,./pheno_400_1yr_nDH96_varE1.22_Ne600_Mean_g.csv,pheno_400_1yr_nDH96_varE1.22_Ne600_Mean_g,pheno,400,1yr,4,nDH96,Ne600,varE1.22
75,2.817755292,0.431534251,./pheno_400_1yr_nDH96_varE1.22_Ne600_Mean_g.csv,pheno_400_1yr_nDH96_varE1.22_Ne600_Mean_g,pheno,400,1yr,5,nDH96,Ne600,varE1.22
76,3.64491483,0.489985722,./pheno_400_1yr_nDH96_varE1.22_Ne600_Mean_g.csv,pheno_400_1yr_nDH96_varE1.22_Ne600_Mean_g,pheno,400,1yr,6,nDH96,Ne600,varE1.22
77,4.3841733,0.517919188,./pheno_400_1yr_nDH96_varE1.22_Ne600_Mean_g.csv,pheno_400_1yr_nDH96_varE1.22_Ne600_Mean_g,pheno,400,1yr,7,nDH96,Ne600,varE1.22
78,-0.006706576,0.04513426,./pheno_400_2yr_nDH96_varE1.22_Ne600_Mean_g.csv,pheno_400_2yr_nDH96_varE1.22_Ne600_Mean_g,pheno,400,2yr,1,nDH96,Ne600,varE1.22
79,0.001968679,0.04309172,./pheno_400_2yr_nDH96_varE1.22_Ne600_Mean_g.csv,pheno_400_2yr_nDH96_varE1.22_Ne600_Mean_g,pheno,400,2yr,2,nDH96,Ne600,varE1.22
80,1.009421895,0.235254162,./pheno_400_2yr_nDH96_varE1.22_Ne600_Mean_g.csv,pheno_400_2yr_nDH96_varE1.22_Ne600_Mean_g,pheno,400,2yr,3,nDH96,Ne600,varE1.22
81,1.06605617,0.244630198,./pheno_400_2yr_nDH96_varE1.22_Ne600_Mean_g.csv,pheno_400_2yr_nDH96_varE1.22_Ne600_Mean_g,pheno,400,2yr,4,nDH96,Ne600,varE1.22
82,2.076598961,0.390549672,./pheno_400_2yr_nDH96_varE1.22_Ne600_Mean_g.csv,pheno_400_2yr_nDH96_varE1.22_Ne600_Mean_g,pheno,400,2yr,5,nDH96,Ne600,varE1.22
83,2.167013732,0.431119604,./pheno_400_2yr_nDH96_varE1.22_Ne600_Mean_g.csv,pheno_400_2yr_nDH96_varE1.22_Ne600_Mean_g,pheno,400,2yr,6,nDH96,Ne600,varE1.22
84,2.947296095,0.418799787,./pheno_400_2yr_nDH96_varE1.22_Ne600_Mean_g.csv,pheno_400_2yr_nDH96_varE1.22_Ne600_Mean_g,pheno,400,2yr,7,nDH96,Ne600,varE1.22
85,-0.003203797,0.024473858,./rand_1000_1yr_nDH96_varE1.22_Ne600_Mean_g.csv,rand_1000_1yr_nDH96_varE1.22_Ne600_Mean_g,rand,1000,1yr,1,nDH96,Ne600,varE1.22
86,0.001128286,0.024103083,./rand_1000_1yr_nDH96_varE1.22_Ne600_Mean_g.csv,rand_1000_1yr_nDH96_varE1.22_Ne600_Mean_g,rand,1000,1yr,2,nDH96,Ne600,varE1.22
87,0.762165779,0.141563961,./rand_1000_1yr_nDH96_varE1.22_Ne600_Mean_g.csv,rand_1000_1yr_nDH96_varE1.22_Ne600_Mean_g,rand,1000,1yr,3,nDH96,Ne600,varE1.22
88,1.553975171,0.315418656,./rand_1000_1yr_nDH96_varE1.22_Ne600_Mean_g.csv,rand_1000_1yr_nDH96_varE1.22_Ne600_Mean_g,rand,1000,1yr,4,nDH96,Ne600,varE1.22
89,2.327211972,0.420314348,./rand_1000_1yr_nDH96_varE1.22_Ne600_Mean_g.csv,rand_1000_1yr_nDH96_varE1.22_Ne600_Mean_g,rand,1000,1yr,5,nDH96,Ne600,varE1.22
90,3.040500484,0.483827123,./rand_1000_1yr_nDH96_varE1.22_Ne600_Mean_g.csv,rand_1000_1yr_nDH96_varE1.22_Ne600_Mean_g,rand,1000,1yr,6,nDH96,Ne600,varE1.22
91,3.75355105,0.517412388,./rand_1000_1yr_nDH96_varE1.22_Ne600_Mean_g.csv,rand_1000_1yr_nDH96_varE1.22_Ne600_Mean_g,rand,1000,1yr,7,nDH96,Ne600,varE1.22
