"","Mean","StdErr","Selection","Shorten","SelectSP","TestSP","Year","Cycles","nGP","Ne","varE"
"63",0.898442975513595,0.0149572214270402,"./rand_400_1yr_nDH96_varE1_Ne60_Sd_GP.csv","rand_400_1yr_nDH96_varE1_Ne60_Sd_GP","rand",400,"1yr",3,"nDH96","Ne=60","heritability: 0.5"
"64",0.831557478615794,0.013984830160535,"./rand_400_1yr_nDH96_varE1_Ne60_Sd_GP.csv","rand_400_1yr_nDH96_varE1_Ne60_Sd_GP","rand",400,"1yr",4,"nDH96","Ne=60","heritability: 0.5"
"65",0.780448218617923,0.0149117011666054,"./rand_400_1yr_nDH96_varE1_Ne60_Sd_GP.csv","rand_400_1yr_nDH96_varE1_Ne60_Sd_GP","rand",400,"1yr",5,"nDH96","Ne=60","heritability: 0.5"
"66",0.732283592841615,0.0192813567997563,"./rand_400_1yr_nDH96_varE1_Ne60_Sd_GP.csv","rand_400_1yr_nDH96_varE1_Ne60_Sd_GP","rand",400,"1yr",6,"nDH96","Ne=60","heritability: 0.5"
"67",0.694407570428204,0.0218915785090517,"./rand_400_1yr_nDH96_varE1_Ne60_Sd_GP.csv","rand_400_1yr_nDH96_varE1_Ne60_Sd_GP","rand",400,"1yr",7,"nDH96","Ne=60","heritability: 0.5"
"68",0.660012216538212,0.0210478228918959,"./rand_400_1yr_nDH96_varE1_Ne60_Sd_GP.csv","rand_400_1yr_nDH96_varE1_Ne60_Sd_GP","rand",400,"1yr",8,"nDH96","Ne=60","heritability: 0.5"
"69",0.625027129085926,0.018170139283329,"./rand_400_1yr_nDH96_varE1_Ne60_Sd_GP.csv","rand_400_1yr_nDH96_varE1_Ne60_Sd_GP","rand",400,"1yr",9,"nDH96","Ne=60","heritability: 0.5"
"70",0.586970831671524,0.0201692471807443,"./rand_400_1yr_nDH96_varE1_Ne60_Sd_GP.csv","rand_400_1yr_nDH96_varE1_Ne60_Sd_GP","rand",400,"1yr",10,"nDH96","Ne=60","heritability: 0.5"
"72",0.97225444347467,0.011663812999544,"./rand_400_2yr_nDH96_varE1_Ne60_Sd_GP.csv","rand_400_2yr_nDH96_varE1_Ne60_Sd_GP","rand",400,"2yr",2,"nDH96","Ne=60","heritability: 0.5"
"74",0.863475052090522,0.0114127705554265,"./rand_400_2yr_nDH96_varE1_Ne60_Sd_GP.csv","rand_400_2yr_nDH96_varE1_Ne60_Sd_GP","rand",400,"2yr",4,"nDH96","Ne=60","heritability: 0.5"
"76",0.814210481041561,0.0147158882320614,"./rand_400_2yr_nDH96_varE1_Ne60_Sd_GP.csv","rand_400_2yr_nDH96_varE1_Ne60_Sd_GP","rand",400,"2yr",6,"nDH96","Ne=60","heritability: 0.5"
"78",0.790104350842615,0.0193249538458932,"./rand_400_2yr_nDH96_varE1_Ne60_Sd_GP.csv","rand_400_2yr_nDH96_varE1_Ne60_Sd_GP","rand",400,"2yr",8,"nDH96","Ne=60","heritability: 0.5"
"80",0.71691403633723,0.0135092635867934,"./rand_400_2yr_nDH96_varE1_Ne60_Sd_GP.csv","rand_400_2yr_nDH96_varE1_Ne60_Sd_GP","rand",400,"2yr",10,"nDH96","Ne=60","heritability: 0.5"
"82",0.920329281893817,0.0061423895221057,"./pheno_1000_1yr_nDH96_varE1_Ne600_Sd_GP.csv","pheno_1000_1yr_nDH96_varE1_Ne600_Sd_GP","pheno",1000,"1yr",2,"nDH96","Ne=600","heritability: 0.5"
"83",0.881199283666418,0.00738158565314412,"./pheno_1000_1yr_nDH96_varE1_Ne600_Sd_GP.csv","pheno_1000_1yr_nDH96_varE1_Ne600_Sd_GP","pheno",1000,"1yr",3,"nDH96","Ne=600","heritability: 0.5"
"84",0.830220497892723,0.00924153817710405,"./pheno_1000_1yr_nDH96_varE1_Ne600_Sd_GP.csv","pheno_1000_1yr_nDH96_varE1_Ne600_Sd_GP","pheno",1000,"1yr",4,"nDH96","Ne=600","heritability: 0.5"
"85",0.780753838922474,0.0157346219872545,"./pheno_1000_1yr_nDH96_varE1_Ne600_Sd_GP.csv","pheno_1000_1yr_nDH96_varE1_Ne600_Sd_GP","pheno",1000,"1yr",5,"nDH96","Ne=600","heritability: 0.5"
