"","Mean","StdErr","Selection","Shorten","SelectSP","TestSP","Year","Cycles","nGP","Ne","varE"
"62",1.74493201499935,0.0105775238222273,"./rand_400_2yr_nDH96_varE1_Ne60_GPselInt_Reps.csv","rand_400_2yr_nDH96_varE1_Ne60_GPselInt_Reps","rand",400,"2yr",6,"nDH96","Ne=60","heritability: 0.5"
"64",1.74448924622635,0.0159015387282449,"./rand_400_2yr_nDH96_varE1_Ne60_GPselInt_Reps.csv","rand_400_2yr_nDH96_varE1_Ne60_GPselInt_Reps","rand",400,"2yr",8,"nDH96","Ne=60","heritability: 0.5"
"66",1.73835110887984,0.0139455591538346,"./pheno_1000_1yr_nDH96_varE1_Ne600_GPselInt_Reps.csv","pheno_1000_1yr_nDH96_varE1_Ne600_GPselInt_Reps","pheno",1000,"1yr",2,"nDH96","Ne=600","heritability: 0.5"
"67",1.74173586883531,0.00771771471056449,"./pheno_1000_1yr_nDH96_varE1_Ne600_GPselInt_Reps.csv","pheno_1000_1yr_nDH96_varE1_Ne600_GPselInt_Reps","pheno",1000,"1yr",3,"nDH96","Ne=600","heritability: 0.5"
"68",1.74390130721933,0.00831152065638628,"./pheno_1000_1yr_nDH96_varE1_Ne600_GPselInt_Reps.csv","pheno_1000_1yr_nDH96_varE1_Ne600_GPselInt_Reps","pheno",1000,"1yr",4,"nDH96","Ne=600","heritability: 0.5"
"69",1.73840192716582,0.00759834666933974,"./pheno_1000_1yr_nDH96_varE1_Ne600_GPselInt_Reps.csv","pheno_1000_1yr_nDH96_varE1_Ne600_GPselInt_Reps","pheno",1000,"1yr",5,"nDH96","Ne=600","heritability: 0.5"
"70",1.74088952425721,0.00579053787909961,"./pheno_1000_1yr_nDH96_varE1_Ne600_GPselInt_Reps.csv","pheno_1000_1yr_nDH96_varE1_Ne600_GPselInt_Reps","pheno",1000,"1yr",6,"nDH96","Ne=600","heritability: 0.5"
"71",1.76225201375953,0.00633251769078407,"./pheno_1000_1yr_nDH96_varE1_Ne600_GPselInt_Reps.csv","pheno_1000_1yr_nDH96_varE1_Ne600_GPselInt_Reps","pheno",1000,"1yr",7,"nDH96","Ne=600","heritability: 0.5"
"72",1.74487143932787,0.00549407367054094,"./pheno_1000_1yr_nDH96_varE1_Ne600_GPselInt_Reps.csv","pheno_1000_1yr_nDH96_varE1_Ne600_GPselInt_Reps","pheno",1000,"1yr",8,"nDH96","Ne=600","heritability: 0.5"
"74",1.79508005165574,0.013759503945365,"./pheno_1000_2yr_nDH96_varE1_Ne600_GPselInt_Reps.csv","pheno_1000_2yr_nDH96_varE1_Ne600_GPselInt_Reps","pheno",1000,"2yr",2,"nDH96","Ne=600","heritability: 0.5"
"76",1.76448565419558,0.0118517999609761,"./pheno_1000_2yr_nDH96_varE1_Ne600_GPselInt_Reps.csv","pheno_1000_2yr_nDH96_varE1_Ne600_GPselInt_Reps","pheno",1000,"2yr",4,"nDH96","Ne=600","heritability: 0.5"
"78",1.75658274058331,0.00852363193505112,"./pheno_1000_2yr_nDH96_varE1_Ne600_GPselInt_Reps.csv","pheno_1000_2yr_nDH96_varE1_Ne600_GPselInt_Reps","pheno",1000,"2yr",6,"nDH96","Ne=600","heritability: 0.5"
"80",1.74680552771785,0.00867322212926299,"./pheno_1000_2yr_nDH96_varE1_Ne600_GPselInt_Reps.csv","pheno_1000_2yr_nDH96_varE1_Ne600_GPselInt_Reps","pheno",1000,"2yr",8,"nDH96","Ne=600","heritability: 0.5"
"82",1.71131163912649,0.0224387028027454,"./pheno_400_1yr_nDH96_varE1_Ne600_GPselInt_Reps.csv","pheno_400_1yr_nDH96_varE1_Ne600_GPselInt_Reps","pheno",400,"1yr",2,"nDH96","Ne=600","heritability: 0.5"
"83",1.6967053564405,0.0181805798626794,"./pheno_400_1yr_nDH96_varE1_Ne600_GPselInt_Reps.csv","pheno_400_1yr_nDH96_varE1_Ne600_GPselInt_Reps","pheno",400,"1yr",3,"nDH96","Ne=600","heritability: 0.5"
"84",1.72378838887832,0.016040631384725,"./pheno_400_1yr_nDH96_varE1_Ne600_GPselInt_Reps.csv","pheno_400_1yr_nDH96_varE1_Ne600_GPselInt_Reps","pheno",400,"1yr",4,"nDH96","Ne=600","heritability: 0.5"
"85",1.73111632994042,0.0146841559320908,"./pheno_400_1yr_nDH96_varE1_Ne600_GPselInt_Reps.csv","pheno_400_1yr_nDH96_varE1_Ne600_GPselInt_Reps","pheno",400,"1yr",5,"nDH96","Ne=600","heritability: 0.5"
"86",1.7158575446052,0.0125959710309883,"./pheno_400_1yr_nDH96_varE1_Ne600_GPselInt_Reps.csv","pheno_400_1yr_nDH96_varE1_Ne600_GPselInt_Reps","pheno",400,"1yr",6,"nDH96","Ne=600","heritability: 0.5"
"87",1.70827202529172,0.0147722485612372,"./pheno_400_1yr_nDH96_varE1_Ne600_GPselInt_Reps.csv","pheno_400_1yr_nDH96_varE1_Ne600_GPselInt_Reps","pheno",400,"1yr",7,"nDH96","Ne=600","heritability: 0.5"
"88",1.73160312168428,0.0158510963637737,"./pheno_400_1yr_nDH96_varE1_Ne600_GPselInt_Reps.csv","pheno_400_1yr_nDH96_varE1_Ne600_GPselInt_Reps","pheno",400,"1yr",8,"nDH96","Ne=600","heritability: 0.5"
"90",1.77574589510264,0.0191944095060101,"./pheno_400_2yr_nDH96_varE1_Ne600_GPselInt_Reps.csv","pheno_400_2yr_nDH96_varE1_Ne600_GPselInt_Reps","pheno",400,"2yr",2,"nDH96","Ne=600","heritability: 0.5"
"92",1.70140767948722,0.0209758615714697,"./pheno_400_2yr_nDH96_varE1_Ne600_GPselInt_Reps.csv","pheno_400_2yr_nDH96_varE1_Ne600_GPselInt_Reps","pheno",400,"2yr",4,"nDH96","Ne=600","heritability: 0.5"
"94",1.72087346776324,0.0120093682191065,"./pheno_400_2yr_nDH96_varE1_Ne600_GPselInt_Reps.csv","pheno_400_2yr_nDH96_varE1_Ne600_GPselInt_Reps","pheno",400,"2yr",6,"nDH96","Ne=600","heritability: 0.5"
"96",1.73110544257208,0.00872517150634383,"./pheno_400_2yr_nDH96_varE1_Ne600_GPselInt_Reps.csv","pheno_400_2yr_nDH96_varE1_Ne600_GPselInt_Reps","pheno",400,"2yr",8,"nDH96","Ne=600","heritability: 0.5"
"98",1.74971360826241,0.0204201989750604,"./rand_1000_1yr_nDH96_varE1_Ne600_GPselInt_Reps.csv","rand_1000_1yr_nDH96_varE1_Ne600_GPselInt_Reps","rand",1000,"1yr",2,"nDH96","Ne=600","heritability: 0.5"
"99",1.76249696662034,0.0111990549075316,"./rand_1000_1yr_nDH96_varE1_Ne600_GPselInt_Reps.csv","rand_1000_1yr_nDH96_varE1_Ne600_GPselInt_Reps","rand",1000,"1yr",3,"nDH96","Ne=600","heritability: 0.5"
"100",1.76492258673692,0.0113781261725428,"./rand_1000_1yr_nDH96_varE1_Ne600_GPselInt_Reps.csv","rand_1000_1yr_nDH96_varE1_Ne600_GPselInt_Reps","rand",1000,"1yr",4,"nDH96","Ne=600","heritability: 0.5"
"101",1.74231901166202,0.00800359465583689,"./rand_1000_1yr_nDH96_varE1_Ne600_GPselInt_Reps.csv","rand_1000_1yr_nDH96_varE1_Ne600_GPselInt_Reps","rand",1000,"1yr",5,"nDH96","Ne=600","heritability: 0.5"
