"","Mean","StdErr","Selection","Shorten","SelectSP","TestSP","Year","Cycles","nGP","Ne","varE"
"60",0.564683915780175,0.0113071890220313,"./rand_400_2yr_nDH96_varE1_Ne60_GPcor_Reps.csv","rand_400_2yr_nDH96_varE1_Ne60_GPcor_Reps","rand",400,"2yr",4,"nDH96","Ne=60","heritability: 0.5"
"62",0.565258641462319,0.0137831422374669,"./rand_400_2yr_nDH96_varE1_Ne60_GPcor_Reps.csv","rand_400_2yr_nDH96_varE1_Ne60_GPcor_Reps","rand",400,"2yr",6,"nDH96","Ne=60","heritability: 0.5"
"64",0.604405653047043,0.0119175714090191,"./rand_400_2yr_nDH96_varE1_Ne60_GPcor_Reps.csv","rand_400_2yr_nDH96_varE1_Ne60_GPcor_Reps","rand",400,"2yr",8,"nDH96","Ne=60","heritability: 0.5"
"66",0.34318658214874,0.0151031258372765,"./pheno_1000_1yr_nDH96_varE1_Ne600_GPcor_Reps.csv","pheno_1000_1yr_nDH96_varE1_Ne600_GPcor_Reps","pheno",1000,"1yr",2,"nDH96","Ne=600","heritability: 0.5"
"67",0.367730810721666,0.0162370535841737,"./pheno_1000_1yr_nDH96_varE1_Ne600_GPcor_Reps.csv","pheno_1000_1yr_nDH96_varE1_Ne600_GPcor_Reps","pheno",1000,"1yr",3,"nDH96","Ne=600","heritability: 0.5"
"68",0.406163326359423,0.0129324850654967,"./pheno_1000_1yr_nDH96_varE1_Ne600_GPcor_Reps.csv","pheno_1000_1yr_nDH96_varE1_Ne600_GPcor_Reps","pheno",1000,"1yr",4,"nDH96","Ne=600","heritability: 0.5"
"69",0.432247462497359,0.0124619326920217,"./pheno_1000_1yr_nDH96_varE1_Ne600_GPcor_Reps.csv","pheno_1000_1yr_nDH96_varE1_Ne600_GPcor_Reps","pheno",1000,"1yr",5,"nDH96","Ne=600","heritability: 0.5"
"70",0.450155538876146,0.0135886968974002,"./pheno_1000_1yr_nDH96_varE1_Ne600_GPcor_Reps.csv","pheno_1000_1yr_nDH96_varE1_Ne600_GPcor_Reps","pheno",1000,"1yr",6,"nDH96","Ne=600","heritability: 0.5"
"71",0.485331705709923,0.0133793127476674,"./pheno_1000_1yr_nDH96_varE1_Ne600_GPcor_Reps.csv","pheno_1000_1yr_nDH96_varE1_Ne600_GPcor_Reps","pheno",1000,"1yr",7,"nDH96","Ne=600","heritability: 0.5"
"72",0.46636289729777,0.011563573449712,"./pheno_1000_1yr_nDH96_varE1_Ne600_GPcor_Reps.csv","pheno_1000_1yr_nDH96_varE1_Ne600_GPcor_Reps","pheno",1000,"1yr",8,"nDH96","Ne=600","heritability: 0.5"
