"","Mean","StdErr","Selection","Shorten","SelectSP","TestSP","Year","Cycles","nGP","Ne","varE"
"142",0.00671327502407558,0.0307803149381017,"./rand_400_1yr_nDH24_varE1_Ne600_Mean_GP.csv","rand_400_1yr_nDH24_varE1_Ne600_Mean_GP","rand",400,"1yr",2,"nDH24","Ne=600","heritability: 0.5"
"143",0.41962540427681,0.0516707512268089,"./rand_400_1yr_nDH24_varE1_Ne600_Mean_GP.csv","rand_400_1yr_nDH24_varE1_Ne600_Mean_GP","rand",400,"1yr",3,"nDH24","Ne=600","heritability: 0.5"
"144",0.860347510303493,0.0666133557948583,"./rand_400_1yr_nDH24_varE1_Ne600_Mean_GP.csv","rand_400_1yr_nDH24_varE1_Ne600_Mean_GP","rand",400,"1yr",4,"nDH24","Ne=600","heritability: 0.5"
"145",1.26653584616952,0.0811751741851894,"./rand_400_1yr_nDH24_varE1_Ne600_Mean_GP.csv","rand_400_1yr_nDH24_varE1_Ne600_Mean_GP","rand",400,"1yr",5,"nDH24","Ne=600","heritability: 0.5"
"146",1.65363003809239,0.0867985317906813,"./rand_400_1yr_nDH24_varE1_Ne600_Mean_GP.csv","rand_400_1yr_nDH24_varE1_Ne600_Mean_GP","rand",400,"1yr",6,"nDH24","Ne=600","heritability: 0.5"
"147",2.08945550982035,0.10023252188793,"./rand_400_1yr_nDH24_varE1_Ne600_Mean_GP.csv","rand_400_1yr_nDH24_varE1_Ne600_Mean_GP","rand",400,"1yr",7,"nDH24","Ne=600","heritability: 0.5"
"148",2.46594628019851,0.10339955933185,"./rand_400_1yr_nDH24_varE1_Ne600_Mean_GP.csv","rand_400_1yr_nDH24_varE1_Ne600_Mean_GP","rand",400,"1yr",8,"nDH24","Ne=600","heritability: 0.5"
"149",2.86563620146125,0.109763281694479,"./rand_400_1yr_nDH24_varE1_Ne600_Mean_GP.csv","rand_400_1yr_nDH24_varE1_Ne600_Mean_GP","rand",400,"1yr",9,"nDH24","Ne=600","heritability: 0.5"
"150",3.25612889524461,0.117144924233675,"./rand_400_1yr_nDH24_varE1_Ne600_Mean_GP.csv","rand_400_1yr_nDH24_varE1_Ne600_Mean_GP","rand",400,"1yr",10,"nDH24","Ne=600","heritability: 0.5"
"152",0.0304084749883675,0.0270072249225886,"./rand_400_2yr_nDH24_varE1_Ne600_Mean_GP.csv","rand_400_2yr_nDH24_varE1_Ne600_Mean_GP","rand",400,"2yr",2,"nDH24","Ne=600","heritability: 0.5"
