"","Mean","StdErr","Selection","Shorten","SelectSP","TestSP","Year","Cycles","nDH","Ne","varE"
"39",0.929641259633,0.00437836573581325,"./rand_1000_2yr_nDH24_varE1_Ne60_Sd_GP.csv","rand_1000_2yr_nDH24_varE1_Ne60_Sd_GP","rand",1000,"2yr",4,"nDH24","Ne60","varE1"
"40",0.904818299461086,0.00415860324620756,"./rand_1000_2yr_nDH24_varE1_Ne60_Sd_GP.csv","rand_1000_2yr_nDH24_varE1_Ne60_Sd_GP","rand",1000,"2yr",5,"nDH24","Ne60","varE1"
"41",0.902515350009791,0.00417329688135542,"./rand_1000_2yr_nDH24_varE1_Ne60_Sd_GP.csv","rand_1000_2yr_nDH24_varE1_Ne60_Sd_GP","rand",1000,"2yr",6,"nDH24","Ne60","varE1"
"42",0.886409391408383,0.00453283990429382,"./rand_1000_2yr_nDH24_varE1_Ne60_Sd_GP.csv","rand_1000_2yr_nDH24_varE1_Ne60_Sd_GP","rand",1000,"2yr",7,"nDH24","Ne60","varE1"
"43",0.989570814770594,0.00570396916519326,"./rand_400_1yr_nDH24_varE1_Ne60_Sd_GP.csv","rand_400_1yr_nDH24_varE1_Ne60_Sd_GP","rand",400,"1yr",1,"nDH24","Ne60","varE1"
"44",1.00513401117084,0.00572956919868167,"./rand_400_1yr_nDH24_varE1_Ne60_Sd_GP.csv","rand_400_1yr_nDH24_varE1_Ne60_Sd_GP","rand",400,"1yr",2,"nDH24","Ne60","varE1"
"45",0.936041264055271,0.00696804215670327,"./rand_400_1yr_nDH24_varE1_Ne60_Sd_GP.csv","rand_400_1yr_nDH24_varE1_Ne60_Sd_GP","rand",400,"1yr",3,"nDH24","Ne60","varE1"
"46",0.900796974183223,0.0054991502486815,"./rand_400_1yr_nDH24_varE1_Ne60_Sd_GP.csv","rand_400_1yr_nDH24_varE1_Ne60_Sd_GP","rand",400,"1yr",4,"nDH24","Ne60","varE1"
"47",0.872190864265272,0.00606255991606548,"./rand_400_1yr_nDH24_varE1_Ne60_Sd_GP.csv","rand_400_1yr_nDH24_varE1_Ne60_Sd_GP","rand",400,"1yr",5,"nDH24","Ne60","varE1"
"48",0.84901259694004,0.00614640512736208,"./rand_400_1yr_nDH24_varE1_Ne60_Sd_GP.csv","rand_400_1yr_nDH24_varE1_Ne60_Sd_GP","rand",400,"1yr",6,"nDH24","Ne60","varE1"
