"","X","Mean","StdErr","Selection","Shorten","SelectSP","TestSP","Year","Cycles","nDH","Ne","varE"
"96",96,0.916097994912245,0.0155478568907236,"./rand_1000_2yr_nDH24_varE1_Ne600_Mean_GP.csv","rand_1000_2yr_nDH24_varE1_Ne600_Mean_GP","rand",1000,"2yr",5,"nDH24","Ne600","varE1"
"97",97,0.926241486793492,0.0144275159226021,"./rand_1000_2yr_nDH24_varE1_Ne600_Mean_GP.csv","rand_1000_2yr_nDH24_varE1_Ne600_Mean_GP","rand",1000,"2yr",6,"nDH24","Ne600","varE1"
"98",98,1.35378643404061,0.019001295078937,"./rand_1000_2yr_nDH24_varE1_Ne600_Mean_GP.csv","rand_1000_2yr_nDH24_varE1_Ne600_Mean_GP","rand",1000,"2yr",7,"nDH24","Ne600","varE1"
"99",99,-0.00294373157411236,0.0119199246498539,"./rand_400_1yr_nDH24_varE1_Ne600_Mean_GP.csv","rand_400_1yr_nDH24_varE1_Ne600_Mean_GP","rand",400,"1yr",1,"nDH24","Ne600","varE1"
"100",100,-0.00257547045584037,0.0127189830850913,"./rand_400_1yr_nDH24_varE1_Ne600_Mean_GP.csv","rand_400_1yr_nDH24_varE1_Ne600_Mean_GP","rand",400,"1yr",2,"nDH24","Ne600","varE1"
"101",101,0.425796269105707,0.0180644349955505,"./rand_400_1yr_nDH24_varE1_Ne600_Mean_GP.csv","rand_400_1yr_nDH24_varE1_Ne600_Mean_GP","rand",400,"1yr",3,"nDH24","Ne600","varE1"
"102",102,0.863170975061345,0.0265746470053,"./rand_400_1yr_nDH24_varE1_Ne600_Mean_GP.csv","rand_400_1yr_nDH24_varE1_Ne600_Mean_GP","rand",400,"1yr",4,"nDH24","Ne600","varE1"
"103",103,1.2778349655864,0.0287581004462922,"./rand_400_1yr_nDH24_varE1_Ne600_Mean_GP.csv","rand_400_1yr_nDH24_varE1_Ne600_Mean_GP","rand",400,"1yr",5,"nDH24","Ne600","varE1"
"104",104,1.70344125067424,0.0314331187817316,"./rand_400_1yr_nDH24_varE1_Ne600_Mean_GP.csv","rand_400_1yr_nDH24_varE1_Ne600_Mean_GP","rand",400,"1yr",6,"nDH24","Ne600","varE1"
"105",105,2.14340718959097,0.0321392728364356,"./rand_400_1yr_nDH24_varE1_Ne600_Mean_GP.csv","rand_400_1yr_nDH24_varE1_Ne600_Mean_GP","rand",400,"1yr",7,"nDH24","Ne600","varE1"
"106",106,-0.000381541349822728,0.0126557144714259,"./rand_400_2yr_nDH24_varE1_Ne600_Mean_GP.csv","rand_400_2yr_nDH24_varE1_Ne600_Mean_GP","rand",400,"2yr",1,"nDH24","Ne600","varE1"
"107",107,-0.00293195232030389,0.0103340674292909,"./rand_400_2yr_nDH24_varE1_Ne600_Mean_GP.csv","rand_400_2yr_nDH24_varE1_Ne600_Mean_GP","rand",400,"2yr",2,"nDH24","Ne600","varE1"
